filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
images/Set1/8700_1.jpg,-1,{},1,0,"{""name"":""rect"",""x"":140,""y"":1,""width"":81,""height"":69}","{""Age"":""25-35"",""Weight"":""slightly-overweight"",""Gender"":""male"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""None"",""Accessories"":{""Nothing"":true},""Footwear"":""Normal"",""Demeanour"":""Unkept"",""ClothingStyle"":""Below Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back""}"
images/Set1/14370_1.jpg,-1,{},1,0,"{""name"":""rect"",""x"":86,""y"":2,""width"":96,""height"":98}","{""Age"":""15-25"",""Weight"":""normal-healthy"",""Gender"":""female"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Shopping "",""Accessories"":{""Watch"":true},""Footwear"":""Normal"",""Demeanour"":""Classy-Groomed"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Average"",""Emotion"":""Happy"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Side""}"
images/Set1/1590_1 (4).jpg,-1,{},1,0,"{""name"":""rect"",""x"":114,""y"":0,""width"":62,""height"":62}","{""Age"":""35-45"",""Weight"":""over-weight"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{""Nothing"":true},""Footwear"":""Normal"",""Demeanour"":""Classy-Groomed"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Side""}"
images/Set1/IMG (4372).jpg,-1,{},1,0,"{""name"":""rect"",""x"":121,""y"":6,""width"":91,""height"":108}","{""Age"":""45-55"",""Weight"":""over-weight"",""Gender"":""female"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{""Earings"":true},""Footwear"":""Normal"",""Demeanour"":""Unkept"",""ClothingStyle"":""Average"",""ImageQuality"":""Bad"",""Emotion"":""Angry/Serious"",""ClothingStyle2"":""Daily"",""BodyPose"":""Side""}"
images/Set1/2100_0 (4).jpg,-1,{},1,0,"{""name"":""rect"",""x"":182,""y"":65,""width"":134,""height"":168}","{""Age"":""35-45"",""Weight"":""normal-healthy"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Happy"",""ClothingStyle2"":""Daily"",""BodyPose"":""Front-Frontish""}"
images/Set1/13530_0 (3).jpg,-1,{},1,0,"{""name"":""rect"",""x"":77,""y"":20,""width"":53,""height"":49}","{""Age"":""25-35"",""Weight"":""slightly-overweight"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""None"",""Accessories"":{""Nothing"":true},""Footwear"":""Fancy"",""Demeanour"":""Average"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Bad"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Front-Frontish""}"
images/Set1/16140_0 (3).jpg,-1,{},1,0,"{""name"":""point"",""cx"":110,""cy"":6}","{""Age"":""25-35"",""Weight"":""normal-healthy"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""None"",""Footwear"":""Fancy"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back"",""Accessories"":{""Nothing"":true}}"
images/Set1/IMG (8488).jpg,-1,{},1,0,"{""name"":""rect"",""x"":88,""y"":32,""width"":95,""height"":77}","{""Age"":""25-35"",""Weight"":""slightly-overweight"",""Gender"":""male"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""Shopping "",""Accessories"":{},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Back""}"
images/Set1/6030_12.jpg,-1,{},1,0,"{""name"":""rect"",""x"":76,""y"":7,""width"":84,""height"":90}","{""Age"":""35-45"",""Weight"":""normal-healthy"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{""OtherJewellery"":true},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Front-Frontish""}"
images/Set1/7530_3 (2).jpg,-1,{},1,0,"{""name"":""rect"",""x"":119,""y"":62,""width"":96,""height"":105}","{""Age"":""35-45"",""Weight"":""over-weight"",""Gender"":""male"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{},""Footwear"":""Normal"",""Demeanour"":""Average"",""ClothingStyle"":""Below Average"",""ImageQuality"":""Good"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Front-Frontish""}"
